"X1_t1","X2_t1","X3_t1","X4_t1","X5_t1","X6_t1","X7_t1","X8_t1","X9_t1","X10_t1","X11_t1","X12_t1","X13_t1","X14_t1","X15_t1","X16_t1","X17_t1","X18_t1","X19_t1","X20_t1","X21_t1","X22_t1","X23_t1","X24_t1","X1_t2","X2_t2","X3_t2","X4_t2","X5_t2","X6_t2","X7_t2","X8_t2","X9_t2","X10_t2","X11_t2","X12_t2","X13_t2","X14_t2","X15_t2","X16_t2","X17_t2","X18_t2","X19_t2","X20_t2","X21_t2","X22_t2","X23_t2","X24_t2","time_taken_t1","total_time","cat_questionnaire_time_t1","cat_questionnaire_time_t2","score_t1","score_t2","ID"
3,5,5,4,1,3,1,1,2,2,3,4,3,2,3,3,4,3,3,1,3,1,2,3,3,5,4,5,2,3,2,3,2,2,4,4,3,3,4,4,3,4,4,1,2,2,4,3,585.43,162.088,84541,63715,65,76,90
4,4,4,4,3,2,2,3,2,4,3,2,3,3,3,4,3,4,3,4,4,2,4,3,3,4,4,4,2,2,3,3,2,3,3,3,3,3,2,2,4,2,2,2,2,2,2,4,1188.788,342.951,218753,178554,77,66,91
4,4,4,4,1,2,3,3,2,2,3,3,2,3,2,3,2,3,3,3,2,1,2,3,2,4,3,3,1,1,2,3,2,1,3,3,1,4,3,2,2,2,3,2,3,1,2,2,1737.483,447.955,204101,206099,64,55,92
2,4,4,4,3,4,1,2,2,5,2,4,3,2,3,2,3,4,2,2,2,2,4,5,3,4,4,4,2,4,2,2,2,4,3,4,4,4,4,4,3,3,2,3,3,2,4,3,748.624,319.176,110164,175783,71,77,93
3,3,2,2,1,1,1,1,2,3,3,3,2,3,1,1,2,1,1,3,4,1,2,1,2,3,2,3,2,1,1,2,3,3,3,2,2,4,1,2,2,3,2,2,2,1,3,2,1041.196,253.005,141369,164577,47,53,94
1,3,2,2,1,4,1,1,1,2,3,2,2,2,1,1,2,1,2,1,2,1,2,1,2,5,2,4,1,2,1,1,1,2,3,3,2,2,1,1,1,2,3,2,3,1,2,1,1929.615,338.476,190207,177156,41,48,95
3,4,3,4,3,1,2,1,2,2,2,3,1,1,1,3,1,1,2,1,2,1,2,2,3,3,3,4,1,2,1,3,2,2,3,3,1,3,1,4,2,2,3,1,3,1,2,1,1757.672,433.027,252443,226103,48,54,96
4,5,3,5,3,2,4,3,4,5,4,4,3,4,4,4,3,3,4,2,3,2,2,3,3,4,5,5,2,3,1,4,3,5,3,4,3,4,2,4,3,3,3,2,3,1,1,2,704.039,298.877,127529,113426,83,73,97
4,3,4,4,2,2,2,3,4,2,5,3,2,3,3,2,3,3,3,4,4,3,4,4,3,4,3,3,2,3,2,4,3,2,5,3,2,4,2,2,3,4,3,4,2,2,4,3,777.919,179.059,140660,85009,76,72,98
4,4,5,4,4,2,4,2,3,3,4,3,3,5,3,3,4,5,3,3,3,3,3,4,5,3,4,4,4,4,3,4,3,4,4,4,3,5,3,4,4,5,3,3,4,4,4,4,608.07,247.883,96098,105447,84,92,99
4,4,4,5,4,4,5,5,5,5,5,4,4,5,5,2,4,4,4,5,4,5,4,4,4,5,4,5,4,4,5,4,4,5,5,5,4,5,4,4,5,3,4,5,4,5,5,4,417.703,154.807,55383,85821,104,106,100
